service_id,date,exception_type
SUN,20131128,1
WKDY,20131128,2
SUN,20131225,1
WKDY,20131225,2
SUN,20140101,1
WKDY,20140101,2
SAT,20140120,1
WKDY,20140120,2
SAT,20140217,1
WKDY,20140217,2
SUN,20140526,1
WKDY,20140526,2
SUN,20140704,1
WKDY,20140704,2
SUN,20140901,1
WKDY,20140901,2
SUN,20141127,1
WKDY,20141127,2
SUN,20141225,1
WKDY,20141225,2
SUN,20150101,1
WKDY,20150101,2
SAT,20150119,1
WKDY,20150119,2
SAT,20150216,1
WKDY,20150216,2
SUN,20150525,1
WKDY,20150525,2
SUN,20150704,1
SAT,20150704,2
SUN,20150907,1
WKDY,20150907,2
SUN,20151126,1
WKDY,20151126,2
SUN,20151225,1
WKDY,20151225,2
